EmployeeID,EmployeeName,JobTitle,AlcoholTrained
30015010,Thalia Holgate,Customer Assistant,Yes
89165076,Leah Greene,Section Coordinator,Yes
24218677,Christopher Skinner,Section Manager,Yes
34407309,Penelope Clarkson,Section Manager,Yes
60785865,Karen James,Customer Assistant,No
26374527,Stephen Knox,Customer Assistant,Yes
57815909,Alexandra Harris,Section Coordinator,Yes
81695469,Keith Mathis,Customer Assistant,Yes
70919213,Keith Ellison,Store Manager,Yes
98606928,Olivia May,Customer Assistant,Yes
63102524,Stephen Reid,Customer Assistant,Yes
36894229,Rachel Campbell,Section Manager,Yes
41328970,Jack Jones,Section Coordinator,Yes
86117218,Justin Wallace,Customer Assistant,No
31773629,Andrea Lee,Customer Assistant,Yes
18105625,Diana Morgan,Customer Assistant,No
73114733,Eric Cameron,Section Coordinator,Yes
77095359,Amy Dickens,Customer Assistant,Yes
25255529,Andrew Hill,Section Manager,Yes
85017162,Rebecca Paterson,Customer Assistant,Yes
